country,x,y
Albania,8, -262
Andorra, -228, -245
Austria, -65, -150
Belarus, 50, -35
Belgium,-185, -110
Bosnia,-30, -210
Bulgaria,60, -221
Croatia,-45, -195
Cyprus,199, -330
Czech Republic, -80, -121
Denmark,-135, -10
Estonia,25,50
Finland,13,128
North Macedonia,21,-251
France,-205,-165
Germany,-114,-88
Greece,38,-282
Hungary,-30,-165
Iceland,-335, 182
Ireland,-299, -36
Italy, -85,-238
Kosovo,28,-235
Latvia,27,20
Liechtenstein,-130,-158
Lithuania,15, -8
Luxembourg,-175,-125
Malta,-80,-353
Moldova,86,-132
Monaco,-155,-222
Montenegro,-15,-230
Netherlands,-175,-71
Norway,-130,87
Poland,-30,-71
Portugal,-370,-267
Romania,55,-168
Russia,179, 104
San Marino, -100,-215
Serbia,15,-210
Slovakia,-10, -129
Slovenia, -65, -185
Spain, -298, -271
Sweden, -90, 44
Switzerland, -150, -175
Turkey, 199, -251
Vatican City, -77, -254
Ukraine, 116, -93
United Kingdom, -260,-57